"","STATEFP","COUNTYFP","TRACTCE","POPULATION","LATITUDE","LONGITUDE"
"1788",4,13,109704,2360,33.490922,-112.22463
"1789",4,13,109705,1803,33.484502,-112.224616
"1790",4,13,109801,3758,33.486273,-112.198932
"1791",4,13,109802,4546,33.487107,-112.190816
"1792",4,13,109900,7080,33.486706,-112.178314
"1793",4,13,110001,4529,33.484158,-112.160641
"1794",4,13,110002,4339,33.491562,-112.159345
"1795",4,13,110100,6612,33.485385,-112.143044
"1796",4,13,110400,5125,33.48798,-112.09146
"1797",4,13,110501,2899,33.490111,-112.080609
"1798",4,13,110502,2319,33.488179,-112.067557
"1799",4,13,110600,4881,33.48791,-112.055253
"1800",4,13,110701,2570,33.485885,-112.044463
"1801",4,13,110702,3833,33.48761,-112.035958
"1802",4,13,110801,5006,33.491636,-112.021025
"1803",4,13,110802,2315,33.48433,-112.020441
"1804",4,13,110901,3075,33.485983,-112.008483
"1805",4,13,110902,4304,33.486433,-112.000451
"1806",4,13,111000,4745,33.488044,-111.988023
"1807",4,13,111100,4376,33.485527,-111.969255
"1808",4,13,111201,5242,33.474565,-111.97061
"1809",4,13,111202,1964,33.461547,-111.975163
"1810",4,13,111203,1410,33.452252,-111.973812
"1811",4,13,111204,2154,33.455625,-111.967137
"1812",4,13,111300,5447,33.471503,-111.987623
"1813",4,13,111401,4310,33.472728,-112.00861
"1814",4,13,111402,4150,33.472879,-112.000333
"1815",4,13,111501,2115,33.468993,-112.025382
"1816",4,13,111502,6524,33.473525,-112.018492
"1817",4,13,111601,3161,33.4726,-112.034315
"1818",4,13,111602,5055,33.473361,-112.043296
"1819",4,13,111700,5647,33.472883,-112.05567
"1820",4,13,111800,3487,33.47318,-112.07528
"1821",4,13,111900,2238,33.471533,-112.090233
"1822",4,13,112100,3838,33.470931,-112.127123
"1823",4,13,112201,4400,33.472198,-112.140311
"1824",4,13,112202,4305,33.472435,-112.147541
"1825",4,13,112301,5017,33.469255,-112.161033
"1826",4,13,112302,6754,33.477226,-112.159681
"1827",4,13,112401,5377,33.476725,-112.177171
"1828",4,13,112402,4999,33.469617,-112.177676
"1829",4,13,112502,5397,33.469495,-112.194757
"1830",4,13,112503,7944,33.472496,-112.211321
"1831",4,13,112504,3596,33.478131,-112.193355
"1832",4,13,112505,8369,33.46015,-112.195324
"1833",4,13,112507,2399,33.464906,-112.178275
"1834",4,13,112508,2148,33.455445,-112.20861
"1835",4,13,112509,6909,33.467655,-112.223084
"1836",4,13,112510,4162,33.429091,-112.229818
"1837",4,13,112511,6816,33.416157,-112.220629
"1838",4,13,112512,1796,33.453826,-112.184955
"1839",4,13,112513,8131,33.422061,-112.197396
"1840",4,13,112514,3633,33.40401,-112.174411
"1841",4,13,112601,3009,33.464352,-112.144719
"1842",4,13,112602,7935,33.456756,-112.144339
"1843",4,13,112700,6740,33.456799,-112.125539
"1844",4,13,112900,4805,33.45708,-112.090484
"1845",4,13,113000,1895,33.461412,-112.074214
"1846",4,13,113100,2808,33.455183,-112.074292
"1847",4,13,113201,2666,33.4551,-112.05176
"1848",4,13,113202,2061,33.455879,-112.060102
"1849",4,13,113203,2317,33.46095,-112.05511
"1850",4,13,113300,5175,33.457852,-112.037785
"1851",4,13,113400,684,33.453271,-112.02688
"1852",4,13,113501,4416,33.461976,-112.023265
"1853",4,13,113502,2638,33.456325,-112.018219
"1854",4,13,113601,3957,33.463614,-112.00413
"1855",4,13,113602,3400,33.454969,-112.007103
"1856",4,13,113700,7720,33.460699,-111.987535
"1857",4,13,113801,2135,33.449042,-111.994827
"1858",4,13,113802,17,33.427112,-111.993183
"1859",4,13,113900,1372,33.449629,-112.042922
"1860",4,13,114000,2614,33.447866,-112.05797
"1861",4,13,114100,2401,33.445909,-112.077593
"1862",4,13,114200,1539,33.43974,-112.075217
"1863",4,13,114301,1570,33.446565,-112.08854
"1864",4,13,114302,2477,33.438927,-112.08976
